name,name_en,type,type_en,address,sum_district_name,sum_district_type ,bag_khoroo_name,bag_khoroo_type,3_word_address,address_en,timetable,timetable_en,phone,mon,tue,wed,thu,fri,sat,sun,open_time,close_time,
Дорноговь салбар Экспресс АТМ,CRM DORNOGOVI BRANCH АТМ,atm,салбар,"Дорноговь аймаг, Сайншанд сум, 2-р баг, Хас банк Дорноговь салбар","Дорноговь аймаг, Сайншанд",сум,"Дорноговь аймаг, Сайншанд сум, 2-р",баг,,"Dornogovi province, Sainshand, Xac bank Dornogovi branch",Даваа-Ням 24 цаг,Mon-Sun 24 hour,1800-1888,1,1,1,1,1,1,1,00:00:00,23:59:00,
"Цогтцэций салбар, Экспресс АТМ","Tsogttsetsii branch, Express ATM",atm,салбар,Өмнөговь аймаг Цогтцэций сум Их ус баг ХасБанк салбар дээрээ,Өмнөговь аймаг Цогтцэций,сум,Өмнөговь аймаг Цогтцэций сум Их ус,баг,,CRM UMNUGOVI TSOGTTSETSII BRANCH АТМ,Даваа-Ням 24 цаг,Mon-Sun 24 hour,1800-1888,1,1,1,1,1,1,1,00:00:00,23:59:00,
Дундговь Мандал төв АТМ,Mandal center ATM,atm,атм,Дундговь аймаг 7-р баг Худалдааны гудамж  Мандал Худалдааны төв,0,0,Дундговь аймаг 7-р,баг,,"Dundgovi province, commercial street, Mandal Market",Даваа-Ням 09:00-23:00 цаг,Mon-Sun 9am-11pm,1800-1888,1,1,1,1,1,1,1,09:00:00,23:00:00,
"Замын үүд, Экспресс банк АТМ","Zamiin-uud, Express bank ATM",atm,атм,Замын-Үүд сум 1-р баг Төв талбай Хасбанк дотор,Замын-Үүд,сум,Замын-Үүд сум 1-р,баг,,"Dornogovi province, Zamiin-Uud, Central Square, Xacbank",24 цаг,24/7,1800-1888,1,1,1,1,1,1,1,00:00:00,23:59:00,
Замын үүд Лоби зарлага,Zamiin-uud Lobby cash,atm,,Замын-Үүд сум 1-р баг Төв талбай Хасбанк дотор,Замын-Үүд,сум,Замын-Үүд сум 1-р,баг,,"Dornogovi province, Zamiin-Uud, Central Square, Xacbank",24 цаг,24/7,1800-1888,1,1,1,1,1,1,1,00:00:00,23:59:00,
Өмнөговь Нэгдсэн эмнэлэг,Umnugovi central hospital,atm,,Өмнөговь аймаг нэгдсэн эмнэлэг,0,0,,,,"Umnugovi province, Umnugovi Hospital",Даваа-Ням 24 цаг,Mon-Sun 24 hour,1800-1888,1,1,1,1,1,1,1,00:00:00,23:59:00,
Хэнтий салбар Экспресс АТМ,Khentii branch Express ATM,atm,салбар,Хэнтий аймаг Хэрлэн сум 3-р баг Баатруудын гудамж Хасбанкны байр,Хэнтий аймаг Хэрлэн,сум,Хэнтий аймаг Хэрлэн сум 3-р,баг,,"Khentii province, Kherlen, Baataruud street, Xac bank Khentii branch",Даваа-Ням 24 цаг,Mon-Sun 24 hour,1800-1888,1,1,1,1,1,1,1,00:00:00,23:59:00,
"Хэнтий Эвт худалдааны төв, Экспресс АТМ","Khentii Evt market, Express ATM",atm,атм,"Хэнтий аймаг Хэрлэн сум 3-р баг Тээвэрчид 1к-18, Зүүн бүсийн худалдааны төвийн А блок",Хэнтий аймаг Хэрлэн,сум,Хэнтий аймаг Хэрлэн сум 3-р,баг,,"Khentii province, Kherlen, East zone market, A bloc ",Даваа-Ням 09:00-19:00 цаг,Mon-Sun 9am-7pm,1800-1888,1,1,1,1,1,1,1,09:00:00,19:00:00,
"Баруун-Урт Далай булаг, Экспресс АТМ","Baruun-Urt dalai bulag, Express ATM",atm,атм,Сүхбаатар аймаг Баруун-Урт сум 7-р баг Далай булаг,Сүхбаатар аймаг Баруун-Урт,сум,Сүхбаатар аймаг Баруун-Урт сум 7-р,баг,,"Sukhbaatar province, Baruun-Urt, Dalai bulag","Даваа-Бямба 09:00-22:00
Ням 10:00-22:00","Mon-Sat 09:00-22:00
Sunday 10:00-22:00",1800-1888,1,1,1,1,1,1,1,09:00:00,22:00:00,
Дорноговь салбар өргөтгөл АТМ,DORNOGOVI BRANCH URGUTGUL ATM,atm,салбар,Дорноговь өргөтгөл. 4-р баг Эмийн сантай байр,0,0,Дорноговь өргөтгөл. 4-р,баг,,"Dornogovi province, 4th committee, Xacbank-extention",Даваа-Ням 24 цаг,Mon-Sun 24 hour,1800-1888,1,1,1,1,1,1,1,00:00:00,23:59:00,
